issue_year,volume,issue,article_id,article_url,doi,publication_date,online_date,supplementary_id,supplementary_label,category,is_code,code_reason,asset_url,original_file_name,file_name,relative_path,file_path,bytes,sha256,status,error
2022,4,2,s42256-022-00448-w,https://www.nature.com/articles/s42256-022-00448-w,10.1038/s42256-022-00448-w,2022/02,2022/02/23,,Supplementary Software (download ZIP ),code,True,label/name contains 'software',https://static-content.springer.com/esm/art%3A10.1038%2Fs42256-022-00448-w/MediaObjects/42256_2022_448_MOESM3_ESM.zip,42256_2022_448_MOESM3_ESM.zip,03_code_Supplementary_Software_download_ZIP_42256_2022_448_MOESM3_ESM_zip.zip,2022/s42256-022-00448-w/03_code_Supplementary_Software_download_ZIP_42256_2022_448_MOESM3_ESM_zip.zip,downloads/2022/s42256-022-00448-w/03_code_Supplementary_Software_download_ZIP_42256_2022_448_MOESM3_ESM_zip.zip,4002351,4c2deedf8ff7ac752e820cd13a4f66446ed06bca4f98232711be3319032b292a,already_exists,
2022,4,6,s42256-022-00492-6,https://www.nature.com/articles/s42256-022-00492-6,10.1038/s42256-022-00492-6,2022/06,2022/06/02,,Supplementary Software (download ZIP ),code,True,label/name contains 'software',https://static-content.springer.com/esm/art%3A10.1038%2Fs42256-022-00492-6/MediaObjects/42256_2022_492_MOESM2_ESM.zip,42256_2022_492_MOESM2_ESM.zip,02_code_Supplementary_Software_download_ZIP_42256_2022_492_MOESM2_ESM_zip.zip,2022/s42256-022-00492-6/02_code_Supplementary_Software_download_ZIP_42256_2022_492_MOESM2_ESM_zip.zip,downloads/2022/s42256-022-00492-6/02_code_Supplementary_Software_download_ZIP_42256_2022_492_MOESM2_ESM_zip.zip,95502229,e916c6557d7bc7dd0842eb7c4ea1a6ce80a122899f6a4429f2a0785bca67ebae,already_exists,
2022,4,10,s42256-022-00538-9,https://www.nature.com/articles/s42256-022-00538-9,10.1038/s42256-022-00538-9,2022/10,2022/10/21,,Supplementary Software 1 (download ZIP ),code,True,label/name contains 'software',https://static-content.springer.com/esm/art%3A10.1038%2Fs42256-022-00538-9/MediaObjects/42256_2022_538_MOESM3_ESM.zip,42256_2022_538_MOESM3_ESM.zip,03_code_Supplementary_Software_1_download_ZIP_42256_2022_538_MOESM3_ESM_zip.zip,2022/s42256-022-00538-9/03_code_Supplementary_Software_1_download_ZIP_42256_2022_538_MOESM3_ESM_zip.zip,downloads/2022/s42256-022-00538-9/03_code_Supplementary_Software_1_download_ZIP_42256_2022_538_MOESM3_ESM_zip.zip,6329,854afd63a93f468e6e9a840da0bc7c50b6c98607eb5852c4af141a70f7750a3d,already_exists,
2022,4,10,s42256-022-00538-9,https://www.nature.com/articles/s42256-022-00538-9,10.1038/s42256-022-00538-9,2022/10,2022/10/21,,Supplementary Software 2 (download ZIP ),code,True,label/name contains 'software',https://static-content.springer.com/esm/art%3A10.1038%2Fs42256-022-00538-9/MediaObjects/42256_2022_538_MOESM4_ESM.zip,42256_2022_538_MOESM4_ESM.zip,04_code_Supplementary_Software_2_download_ZIP_42256_2022_538_MOESM4_ESM_zip.zip,2022/s42256-022-00538-9/04_code_Supplementary_Software_2_download_ZIP_42256_2022_538_MOESM4_ESM_zip.zip,downloads/2022/s42256-022-00538-9/04_code_Supplementary_Software_2_download_ZIP_42256_2022_538_MOESM4_ESM_zip.zip,2029,3a35af08b62a55f205a728923458fadd87d21f043ed9af28198103b32ee78e9d,already_exists,
2023,5,2,s42256-023-00610-y,https://www.nature.com/articles/s42256-023-00610-y,10.1038/s42256-023-00610-y,2023/02,2023/02/23,,Supplementary Software (download ZIP ),code,True,label/name contains 'software',https://static-content.springer.com/esm/art%3A10.1038%2Fs42256-023-00610-y/MediaObjects/42256_2023_610_MOESM5_ESM.zip,42256_2023_610_MOESM5_ESM.zip,05_code_Supplementary_Software_download_ZIP_42256_2023_610_MOESM5_ESM_zip.zip,2023/s42256-023-00610-y/05_code_Supplementary_Software_download_ZIP_42256_2023_610_MOESM5_ESM_zip.zip,downloads/2023/s42256-023-00610-y/05_code_Supplementary_Software_download_ZIP_42256_2023_610_MOESM5_ESM_zip.zip,27014856,4c51375ea43e48468ec04040754a508c07eda70d16c4fbb873f900dd87dde826,already_exists,
2023,5,7,s42256-023-00682-w,https://www.nature.com/articles/s42256-023-00682-w,10.1038/s42256-023-00682-w,2023/07,2023/07/13,,Supplementary Code 1 (download ZIP ),code,True,label/name contains 'supplementary code',https://static-content.springer.com/esm/art%3A10.1038%2Fs42256-023-00682-w/MediaObjects/42256_2023_682_MOESM14_ESM.zip,42256_2023_682_MOESM14_ESM.zip,14_code_Supplementary_Code_1_download_ZIP_42256_2023_682_MOESM14_ESM_zip.zip,2023/s42256-023-00682-w/14_code_Supplementary_Code_1_download_ZIP_42256_2023_682_MOESM14_ESM_zip.zip,downloads/2023/s42256-023-00682-w/14_code_Supplementary_Code_1_download_ZIP_42256_2023_682_MOESM14_ESM_zip.zip,567985,25f24d29b4eee237878c7510f5e322d3226d2eeabd440b9bfb1f7a5a9231e391,downloaded,
2023,5,10,s42256-023-00722-5,https://www.nature.com/articles/s42256-023-00722-5,10.1038/s42256-023-00722-5,2023/10,2023/10/05,,Supplementary Software (download ZIP ),code,True,label/name contains 'software',https://static-content.springer.com/esm/art%3A10.1038%2Fs42256-023-00722-5/MediaObjects/42256_2023_722_MOESM2_ESM.zip,42256_2023_722_MOESM2_ESM.zip,02_code_Supplementary_Software_download_ZIP_42256_2023_722_MOESM2_ESM_zip.zip,2023/s42256-023-00722-5/02_code_Supplementary_Software_download_ZIP_42256_2023_722_MOESM2_ESM_zip.zip,downloads/2023/s42256-023-00722-5/02_code_Supplementary_Software_download_ZIP_42256_2023_722_MOESM2_ESM_zip.zip,430831,2651ec367fcaa2d9fe9c913a6b9233a858bef72de96e284f3354eccca91f08c7,downloaded,
2023,5,10,s42256-023-00729-y,https://www.nature.com/articles/s42256-023-00729-y,10.1038/s42256-023-00729-y,2023/10,2023/10/19,,Supplementary Code 1 (download ZIP ),code,True,label/name contains 'supplementary code',https://static-content.springer.com/esm/art%3A10.1038%2Fs42256-023-00729-y/MediaObjects/42256_2023_729_MOESM2_ESM.zip,42256_2023_729_MOESM2_ESM.zip,02_code_Supplementary_Code_1_download_ZIP_42256_2023_729_MOESM2_ESM_zip.zip,2023/s42256-023-00729-y/02_code_Supplementary_Code_1_download_ZIP_42256_2023_729_MOESM2_ESM_zip.zip,downloads/2023/s42256-023-00729-y/02_code_Supplementary_Code_1_download_ZIP_42256_2023_729_MOESM2_ESM_zip.zip,215019,799eeec574f814122aee7939c7f16f375a576b1796a526e056613aad06d39997,downloaded,
2024,6,9,s42256-024-00879-7,https://www.nature.com/articles/s42256-024-00879-7,10.1038/s42256-024-00879-7,2024/09,2024/09/03,,Supplementary Code 1 (download ZIP ),code,True,label/name contains 'supplementary code',https://static-content.springer.com/esm/art%3A10.1038%2Fs42256-024-00879-7/MediaObjects/42256_2024_879_MOESM3_ESM.zip,42256_2024_879_MOESM3_ESM.zip,03_code_Supplementary_Code_1_download_ZIP_42256_2024_879_MOESM3_ESM_zip.zip,2024/s42256-024-00879-7/03_code_Supplementary_Code_1_download_ZIP_42256_2024_879_MOESM3_ESM_zip.zip,downloads/2024/s42256-024-00879-7/03_code_Supplementary_Code_1_download_ZIP_42256_2024_879_MOESM3_ESM_zip.zip,8349243,e9fa843c66226269f440f9407b7987c5c922a6084db5001978e7b6af3a60ae8d,downloaded,
2025,7,1,s42256-024-00958-9,https://www.nature.com/articles/s42256-024-00958-9,10.1038/s42256-024-00958-9,2025/01,2025/01/02,,Supplementary Code 1 (download ZIP ),code,True,label/name contains 'supplementary code',https://static-content.springer.com/esm/art%3A10.1038%2Fs42256-024-00958-9/MediaObjects/42256_2024_958_MOESM2_ESM.zip,42256_2024_958_MOESM2_ESM.zip,02_code_Supplementary_Code_1_download_ZIP_42256_2024_958_MOESM2_ESM_zip.zip,2025/s42256-024-00958-9/02_code_Supplementary_Code_1_download_ZIP_42256_2024_958_MOESM2_ESM_zip.zip,downloads/2025/s42256-024-00958-9/02_code_Supplementary_Code_1_download_ZIP_42256_2024_958_MOESM2_ESM_zip.zip,23802,a8450f09bd3ac13130a5eeb0c1467a14bc7ca2c767d0c3be9ffbedcf0e8eb70a,downloaded,
2025,7,7,s42256-025-01039-1,https://www.nature.com/articles/s42256-025-01039-1,10.1038/s42256-025-01039-1,2025/07,2025/07/21,,Supplementary Software 1 (download ZIP ),code,True,label/name contains 'software',https://static-content.springer.com/esm/art%3A10.1038%2Fs42256-025-01039-1/MediaObjects/42256_2025_1039_MOESM4_ESM.zip,42256_2025_1039_MOESM4_ESM.zip,04_code_Supplementary_Software_1_download_ZIP_42256_2025_1039_MOESM4_ESM_zip.zip,2025/s42256-025-01039-1/04_code_Supplementary_Software_1_download_ZIP_42256_2025_1039_MOESM4_ESM_zip.zip,downloads/2025/s42256-025-01039-1/04_code_Supplementary_Software_1_download_ZIP_42256_2025_1039_MOESM4_ESM_zip.zip,35834,82df666307254883cea176255cf2bf67f73e8a61c7797f775e83810461a9896b,downloaded,
2025,7,9,s42256-025-01084-w,https://www.nature.com/articles/s42256-025-01084-w,10.1038/s42256-025-01084-w,2025/09,2025/08/14,,Supplementary Code 1 (download ZIP ),code,True,label/name contains 'supplementary code',https://static-content.springer.com/esm/art%3A10.1038%2Fs42256-025-01084-w/MediaObjects/42256_2025_1084_MOESM3_ESM.zip,42256_2025_1084_MOESM3_ESM.zip,03_code_Supplementary_Code_1_download_ZIP_42256_2025_1084_MOESM3_ESM_zip.zip,2025/s42256-025-01084-w/03_code_Supplementary_Code_1_download_ZIP_42256_2025_1084_MOESM3_ESM_zip.zip,downloads/2025/s42256-025-01084-w/03_code_Supplementary_Code_1_download_ZIP_42256_2025_1084_MOESM3_ESM_zip.zip,1096752,5c93492ed1e55c95226c9d05b1fbd46cb0bc9c1bed01245e4a0e4f71f477cd99,downloaded,
2025,7,9,s42256-025-01086-8,https://www.nature.com/articles/s42256-025-01086-8,10.1038/s42256-025-01086-8,2025/09,2025/09/22,,Supplementary Software (download ZIP ),code,True,label/name contains 'software',https://static-content.springer.com/esm/art%3A10.1038%2Fs42256-025-01086-8/MediaObjects/42256_2025_1086_MOESM2_ESM.zip,42256_2025_1086_MOESM2_ESM.zip,02_code_Supplementary_Software_download_ZIP_42256_2025_1086_MOESM2_ESM_zip.zip,2025/s42256-025-01086-8/02_code_Supplementary_Software_download_ZIP_42256_2025_1086_MOESM2_ESM_zip.zip,downloads/2025/s42256-025-01086-8/02_code_Supplementary_Software_download_ZIP_42256_2025_1086_MOESM2_ESM_zip.zip,7562129,d51e32118a1d26a7652301a605026557cf5b7ffbeccc7cf12c6f514df4430ad2,downloaded,
